;Zustandsname;Flächenheizer oben;Flächenheizer unten;FIT PT100;Druck Formwerkzeug;Stempelposition;Stempelgeschwindigkeit
12:53:47.280000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.281000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.282000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.283000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.284000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.285000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.286000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.287000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.288000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.289000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.290000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.291000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.292000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.293000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.294000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.295000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.296000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.297000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.298000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.299000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.300000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.301000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.302000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.303000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.304000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.305000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.306000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.307000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.308000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.309000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.310000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.311000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.312000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.313000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.314000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.315000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
