;Zustandsname;Flächenheizer oben;Flächenheizer unten;FIT PT100;Druck Formwerkzeug;Stempelposition;Stempelgeschwindigkeit
09:22:23.375000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.376000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.377000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.378000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.379000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.380000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.381000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.382000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.383000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.384000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.385000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.386000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.387000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.388000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.389000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.390000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.391000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.392000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.393000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.394000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.395000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.396000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.397000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.398000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.399000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.400000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.401000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.402000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
