;Zustandsname;Flächenheizer oben;Flächenheizer unten;FIT PT100;Druck Formwerkzeug;Stempelposition;Stempelgeschwindigkeit
10:08:07.110000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.111000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.112000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.113000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.114000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.115000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.116000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.117000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.118000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.119000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.120000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.121000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.122000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.123000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.124000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.125000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.126000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.127000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.128000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.129000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.130000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.131000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.132000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.133000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.134000;S2: Bearbeitung Heizen;120.380;120.030;0.000;0.000;0.000;0.000
10:08:07.135000;S2: Bearbeitung Heizen;120.380;120.030;0.000;0.000;0.000;0.000
10:08:07.136000;S2: Bearbeitung Heizen;120.380;120.030;0.000;0.000;0.000;0.000
10:08:07.137000;S2: Bearbeitung Heizen;120.380;120.030;0.000;0.000;0.000;0.000
10:08:07.138000;S2: Bearbeitung Heizen;120.380;120.030;0.000;0.000;0.000;0.000
10:08:07.139000;S2: Bearbeitung Heizen;120.380;120.030;0.000;0.000;0.000;0.000
10:08:07.140000;S2: Bearbeitung Heizen;120.380;120.030;0.000;0.000;0.000;0.000
10:08:07.141000;S2: Bearbeitung Heizen;120.380;120.030;0.000;0.000;0.000;0.000
